Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2021,August,Middle East,Cybertruck,9993,9998,66905,100,575,861.9,7559
2016,December,Asia,Model 3,3988,4307,110898,120,667,399,12486
2020,December,Asia,Model X,14723,15352,66745,60,353,779.58,3676
2023,May,Asia,Model S,10226,11530,80385,75,447,685.65,10083
2023,April,Asia,Model X,8362,8893,75237,120,707,886.79,9288
2024,December,North America,Model Y,11479,12534,87170,100,584,1005.56,10648
2018,April,Europe,Model 3,10049,10153,56291,100,580,874.26,7091
2022,November,North America,Model Y,7778,8204,115530,82,453,528.52,11080
2025,March,North America,Model 3,6581,6910,64552,60,354,349.45,10494
2021,May,Middle East,Model S,15090,16520,67998,100,597,1351.31,5037
2015,June,North America,Model S,8199,8753,59041,120,717,881.8,10274
2016,April,Middle East,Model S,12031,13690,84787,100,599,1080.99,13217
2017,January,Middle East,Model Y,8095,9052,112431,100,571,693.34,13919
2018,June,Middle East,Model 3,16782,18992,89051,75,448,1127.75,3584
2021,January,Europe,Model 3,11739,13015,112633,75,416,732.51,14882
2019,July,North America,Model Y,13026,14158,61655,100,585,1143.03,5110
2016,February,North America,Model 3,8517,8725,77376,75,448,572.34,6097
2021,March,Middle East,Cybertruck,5611,6402,112445,100,576,484.79,9523
2024,March,Europe,Cybertruck,8489,8936,61697,82,452,575.55,7628
2018,May,North America,Model 3,14549,16062,99043,82,481,1049.71,13474
2017,July,North America,Model X,7576,8078,95453,82,489,555.7,3768
2023,October,Middle East,Model Y,14734,15978,61356,100,565,1248.71,13799
2015,September,Middle East,Cybertruck,6086,6274,50770,120,668,609.82,13800
2016,May,North America,Model X,10226,11707,80275,120,678,1039.98,9073
2020,January,Europe,Model Y,8304,8877,70040,75,421,524.4,10742
2022,December,Middle East,Model X,11779,12668,112584,60,358,632.53,12688
2025,November,Asia,Model Y,8686,8798,91471,120,705,918.54,5288
2022,July,North America,Model 3,8531,9379,73920,120,701,897.03,3236
2017,October,North America,Model X,7030,7700,91951,82,458,482.96,11461
2018,May,Asia,Model X,11713,12376,54343,60,340,597.36,9071
2018,March,Europe,Model X,7221,7258,77434,82,479,518.83,5321
2023,June,Asia,Model X,13321,14199,70849,82,469,937.13,3854
2022,September,Asia,Cybertruck,9064,9252,102371,100,573,779.05,12395
2016,March,Asia,Model 3,15568,16533,58532,60,335,782.29,11173
2015,August,North America,Model 3,16705,18976,93697,82,455,1140.12,14277
2023,September,North America,Model 3,8845,9670,96317,82,463,614.29,6840
2019,September,Middle East,Model S,10972,11213,61177,75,442,727.44,10395
2020,January,Europe,Model X,12267,13257,85609,82,460,846.42,11937
2017,September,Middle East,Model X,10095,10441,91780,82,489,740.47,14149
2019,August,North America,Model Y,8798,9658,78364,75,434,572.75,4289
2025,July,Middle East,Model Y,9589,10815,67300,60,330,474.66,10430
2021,December,Europe,Model X,10220,10830,61911,75,422,646.93,6158
2017,May,Europe,Model Y,3928,4343,107199,75,432,254.53,14604
2017,February,Europe,Cybertruck,14501,16437,70119,60,341,741.73,3697
2023,May,Middle East,Model S,11264,12716,99013,82,473,799.18,10314
2023,November,Europe,Cybertruck,15370,16023,94806,100,580,1337.19,4841
2022,February,Asia,Model X,10212,11322,80523,120,697,1067.66,7086
2017,July,Europe,Model S,2321,2587,78677,120,699,243.36,6122
2016,January,Europe,Model X,7412,7789,107038,60,332,369.12,13737
2019,July,Europe,Cybertruck,4589,5205,57243,120,699,481.16,13883
2025,October,Europe,Model 3,7677,8705,119881,75,419,482.5,4444
2024,December,Middle East,Model S,6156,6299,94130,60,352,325.04,13315
2021,November,Asia,Model S,4017,4053,72785,82,456,274.76,11519
2019,November,North America,Model 3,9770,10883,64419,75,439,643.35,3253
2016,June,Europe,Model X,13711,15380,95954,82,456,937.83,7059
2024,December,North America,Model 3,9134,9485,57062,82,475,650.8,11158
2022,October,Asia,Cybertruck,8838,9805,106771,120,711,942.57,14899
2015,February,Europe,Cybertruck,5325,5514,100975,82,466,372.22,10587
2025,January,North America,Model 3,2960,3135,62589,82,462,205.13,8460
2018,April,North America,Model X,6612,7086,115020,100,566,561.36,8584
2015,July,Middle East,Model S,6812,6939,101161,120,716,731.61,5174
2022,August,North America,Model S,13179,14454,107871,82,455,899.47,9057
2021,June,Middle East,Model 3,6935,7185,115529,120,691,718.81,7377
2023,April,Europe,Cybertruck,6051,6712,116674,100,591,536.42,13834
2020,October,Middle East,Model Y,11829,13504,77739,60,350,621.02,8871
2024,August,Asia,Model 3,4363,4926,102725,82,473,309.55,7347
2020,July,North America,Model X,2130,2389,110701,100,583,186.27,3563
2018,February,Europe,Model 3,14802,15759,76533,82,488,1083.51,6014
2015,August,Middle East,Model X,10293,10639,81671,100,557,859.98,5116
2016,November,Europe,Model S,6051,6905,96800,60,350,317.68,7343
2022,November,North America,Model X,9357,10368,88836,82,468,656.86,9789
2020,April,North America,Model S,11163,11497,75989,60,345,577.69,11705
2022,December,North America,Cybertruck,4639,4898,73304,60,335,233.11,10287
2019,April,Europe,Model S,12017,12889,105581,100,578,1041.87,7104
2023,September,Europe,Model X,5499,5702,96785,60,352,290.35,8377
2024,May,Middle East,Model Y,8707,9536,109941,75,430,561.6,5600
2016,May,Asia,Model X,9938,10101,88357,60,343,511.31,13132
2024,May,Europe,Model S,9655,9911,75454,82,466,674.88,14918
2017,February,Middle East,Model Y,10693,11944,82060,75,427,684.89,6634
2023,May,Asia,Model X,10595,11246,119356,82,470,746.95,9646
2021,November,Asia,Model Y,5293,5470,63164,100,571,453.35,10899
2015,August,Europe,Cybertruck,5021,5368,116310,75,418,314.82,10034
2017,March,Asia,Model X,18097,18295,93564,82,491,1332.84,5281
2018,November,North America,Model Y,2125,2299,56121,82,466,148.54,7962
2022,March,North America,Cybertruck,7888,8484,82503,82,461,545.46,9060
2020,November,Europe,Model 3,5000,5740,89281,82,479,359.25,6905
2016,June,Asia,Model Y,14693,14788,61537,75,417,919.05,11711
2018,December,North America,Model S,13800,13902,67994,120,687,1422.09,5723
2015,November,Europe,Model Y,7449,7695,63051,100,588,657,7201
2017,March,North America,Model 3,16645,19120,88114,82,490,1223.41,3907
2016,January,Middle East,Model X,9845,11192,64746,100,581,857.99,10578
2017,May,Europe,Model S,5599,6209,89345,82,489,410.69,8955
2021,April,Europe,Model Y,6976,7095,78767,82,477,499.13,11544
2020,April,Asia,Model 3,11669,12273,106539,120,674,1179.74,3759
2020,December,Europe,Model S,14367,16245,81272,100,567,1221.91,4658
2025,June,North America,Model S,5082,5510,98497,82,472,359.81,8210
2023,September,Middle East,Model X,9521,10178,89653,82,457,652.66,8629
2015,March,Middle East,Model X,10745,10785,117385,100,591,952.54,11351
2017,September,Europe,Cybertruck,8946,10154,119731,100,591,793.06,13138
2017,July,Asia,Model S,9498,10002,85394,100,597,850.55,13515
2022,February,Europe,Model Y,12927,14163,88740,120,660,1279.77,11358
2024,January,Middle East,Model 3,10132,10885,115130,82,487,740.14,12429
2021,August,Asia,Cybertruck,4842,5323,109678,60,337,244.76,8898
2015,October,Middle East,Cybertruck,10786,11162,51708,75,445,719.97,3255
2015,December,Europe,Cybertruck,9736,10358,81597,60,334,487.77,12537
2024,April,Europe,Model Y,15319,17286,58222,60,350,804.25,7906
2023,January,North America,Cybertruck,6048,6284,85833,60,339,307.54,5011
2020,August,Middle East,Model 3,12638,14358,58574,120,692,1311.82,13553
2024,March,Middle East,Cybertruck,13546,15290,119903,100,581,1180.53,12541
2017,December,North America,Model S,12033,12123,52444,82,473,853.74,8258
2019,October,Europe,Model 3,6836,7478,67724,82,483,495.27,12813
2015,April,Europe,Cybertruck,7509,8426,69730,75,416,468.56,11360
2023,July,North America,Cybertruck,8712,9269,92434,75,433,565.84,10816
2018,October,North America,Model X,8168,8418,79309,120,673,824.56,3002
2018,June,Middle East,Model Y,8352,9537,108952,120,677,848.15,3926
2022,September,Asia,Model S,12998,13364,110177,60,337,657.05,5717
2024,July,Europe,Model Y,4031,4541,81731,60,351,212.23,4146
2019,November,Middle East,Cybertruck,10931,11121,117908,82,451,739.48,12632
2022,October,Asia,Model 3,10502,11504,102589,60,350,551.35,5380
2017,October,Middle East,Cybertruck,2856,2917,93680,100,563,241.19,8854
2023,June,Asia,Model Y,6376,7139,67031,82,480,459.07,3820
2016,February,Middle East,Cybertruck,11687,12260,96732,60,354,620.58,12147
2025,March,North America,Model Y,9324,10053,104529,100,567,793.01,5144
2024,October,Middle East,Model 3,13290,13716,118043,75,417,831.29,4213
2022,June,Asia,Model Y,11175,12059,86222,60,357,598.42,9588
2024,December,Europe,Model X,10907,11879,74142,60,331,541.53,9499
2019,December,Europe,Model X,5928,6097,75671,75,416,369.91,10538
2024,December,Middle East,Model 3,5717,6024,114027,100,578,495.66,11858
2016,November,North America,Model S,2787,3166,99982,120,696,290.96,6712
2017,February,Europe,Model Y,6521,7151,77659,100,585,572.22,5390
2015,April,Middle East,Model 3,10387,11371,81391,120,677,1054.8,6943
2017,March,North America,Model X,4959,5104,59856,82,476,354.07,12375
2025,April,North America,Model 3,9260,10611,112520,100,567,787.56,14978
2024,July,North America,Cybertruck,15734,17751,118197,120,686,1619.03,3725
2019,October,Middle East,Cybertruck,11057,11592,88088,120,693,1149.38,7278
2020,February,North America,Model X,9445,10658,77724,82,459,650.29,8097
2024,February,Europe,Model X,3265,3468,105087,120,692,338.91,9564
2020,January,North America,Model S,7377,8178,71806,60,353,390.61,8311
2017,January,North America,Model X,12900,14332,60000,60,352,681.12,12227
2022,March,Europe,Model 3,12358,13043,101855,100,589,1091.83,12159
2016,October,Middle East,Model Y,8723,9386,111196,75,431,563.94,11427
2019,December,Middle East,Model S,14919,15702,114986,75,414,926.47,9592
2025,January,Asia,Model S,13061,13356,108516,75,447,875.74,4643
2015,September,Europe,Model 3,13742,13797,65538,75,421,867.81,11062
2019,March,Asia,Cybertruck,2030,2114,117121,82,456,138.85,9957
2017,March,Asia,Model S,8283,9476,63785,120,717,890.84,14937
2015,March,Europe,Cybertruck,5428,5720,70551,120,708,576.45,12721
2017,July,Asia,Model 3,11311,11485,77491,100,577,978.97,9037
2021,December,Europe,Model 3,13787,14126,106288,75,442,914.08,4526
2015,March,Europe,Model Y,10232,11578,101854,100,584,896.32,11429
2019,August,North America,Model X,9682,10592,60227,60,354,514.11,5820
2025,September,Asia,Cybertruck,9269,10104,88928,120,684,951,8148
2018,March,North America,Model 3,11772,12433,88491,75,414,731.04,8113
2022,August,Europe,Cybertruck,9876,10129,53073,100,582,862.17,12287
2015,February,Europe,Model S,6790,7160,118025,60,358,364.62,6021
2020,May,North America,Model 3,6593,7411,79937,75,434,429.2,4075
2022,June,Europe,Cybertruck,6353,6818,51580,75,438,417.39,6528
2025,April,North America,Cybertruck,7767,8911,99603,60,331,385.63,3421
2024,February,Europe,Model 3,5737,6391,83778,75,447,384.67,6524
2025,February,Asia,Cybertruck,11891,12152,88572,120,668,1191.48,10334
2016,July,North America,Model 3,10058,11503,75756,120,679,1024.41,4786
2023,December,Middle East,Model S,9386,10716,71961,100,572,805.32,4375
2025,December,Middle East,Model Y,17322,18872,58592,100,598,1553.78,4474
2023,July,Europe,Model Y,20021,21439,98882,82,468,1405.47,5427
2020,December,Asia,Model 3,10327,11623,119684,82,451,698.62,4354
2018,December,Europe,Cybertruck,6620,7570,79897,120,688,683.18,13775
2024,August,Asia,Cybertruck,12279,13291,78939,75,415,764.37,11569
2019,April,North America,Model Y,14714,15851,119320,75,435,960.09,7451
2018,July,North America,Model 3,4861,5139,88831,100,553,403.22,3050
2016,January,North America,Model S,8190,8927,70416,120,701,861.18,13321
2023,January,Europe,Model X,6636,7522,100297,60,332,330.47,12853
2022,December,Middle East,Model S,15440,16476,104263,100,576,1334.02,6800
2020,December,Middle East,Model 3,11971,13387,74568,60,342,614.11,7724
2020,May,Middle East,Model S,6380,6473,86877,60,331,316.77,4326
2016,June,Asia,Model S,13441,15177,109256,82,488,983.88,6026
2025,February,North America,Model X,13671,14108,72777,75,418,857.17,10446
2019,November,Asia,Cybertruck,13482,13757,108526,75,418,845.32,6614
2022,June,North America,Model S,8749,9899,64116,120,664,871.4,12457
2017,October,Asia,Model S,11012,12619,82551,75,444,733.4,3748
2018,October,Middle East,Model 3,11265,11474,54937,60,357,603.24,5281
2018,April,Europe,Cybertruck,2568,2829,116215,120,677,260.78,3013
2024,September,Asia,Model S,10748,11279,77353,75,440,709.37,10217
2018,October,Asia,Model X,6871,6941,63099,100,577,594.69,6496
2024,January,Asia,Model X,3197,3640,76299,82,482,231.14,9362
2024,September,Europe,Model Y,9792,10913,56983,75,441,647.74,7457
2025,May,Europe,Model X,5490,5625,53817,75,424,349.16,8539
2025,January,Middle East,Model X,11734,12840,62086,60,337,593.15,8616
2024,September,Middle East,Model X,4042,4146,100376,100,580,351.65,11156
2019,November,Middle East,Model X,9854,9934,108551,75,431,637.06,9324
2023,September,Europe,Model 3,10987,12070,63623,82,467,769.64,14358
2024,June,Asia,Model S,9860,9994,59026,82,460,680.34,13314
2024,November,Asia,Model X,12222,13625,108805,82,484,887.32,3198
2021,August,North America,Cybertruck,9567,10635,93361,120,708,1016.02,8181
2017,September,Asia,Model 3,3857,4289,106467,120,711,411.35,14971
2021,July,North America,Cybertruck,12772,13460,58806,82,475,910,9301
2019,December,Europe,Cybertruck,15301,16170,109020,82,477,1094.79,10808
2015,July,North America,Model Y,12155,13332,89954,75,425,774.88,14838
2020,July,Middle East,Model X,7553,7956,102336,82,473,535.89,12801
2018,July,Middle East,Model 3,12715,12763,74838,60,353,673.26,9766
2016,September,Europe,Model 3,5973,6395,107515,60,343,307.31,7293
2018,November,Europe,Model 3,7319,8008,63441,82,456,500.62,14256
2017,October,Middle East,Model Y,12292,13774,59600,120,694,1279.6,9066
2023,November,North America,Model Y,2737,3009,97047,60,337,138.36,6897
2017,January,Middle East,Model X,10620,11123,57132,75,426,678.62,6244
2022,April,North America,Model Y,5516,6061,78126,75,446,369.02,10655
2016,June,North America,Model X,5812,5963,56888,100,583,508.26,12172
2023,January,Asia,Cybertruck,7068,8023,108374,82,473,501.47,10393
2016,March,Middle East,Cybertruck,11239,11278,94938,82,475,800.78,9560
2018,January,Europe,Cybertruck,6558,6780,92978,120,675,664,9931
2021,November,Middle East,Model X,3096,3470,70265,120,699,324.62,8119
2023,November,Europe,Model Y,11523,12683,119313,60,332,573.85,11006
2024,January,Middle East,Model S,14286,14699,93916,100,598,1281.45,8572
2022,April,Europe,Cybertruck,13867,15747,51095,82,489,1017.14,12717
2015,December,North America,Model S,9331,9800,102046,82,457,639.64,12815
2025,November,North America,Model Y,11488,12841,58544,60,335,577.27,5538
2016,November,Europe,Cybertruck,10434,11337,53062,120,667,1043.92,9703
2019,September,Asia,Cybertruck,9669,10159,50496,82,478,693.27,12905
2015,May,North America,Cybertruck,13430,13654,84484,100,550,1107.97,8623
2025,January,Europe,Model X,6915,7670,102344,120,683,708.44,5525
2017,August,North America,Model 3,13697,14389,59999,82,479,984.13,5475
2016,February,Europe,Model 3,8713,9816,106397,75,434,567.22,13419
2025,May,Europe,Model S,7869,8273,117820,82,479,565.39,7815
2016,March,Asia,Model S,10719,11219,92723,120,702,1128.71,6271
2024,June,Asia,Model Y,11536,12976,109244,75,437,756.18,14448
2018,February,North America,Model 3,10817,10885,79343,82,457,741.51,13551
2016,September,Middle East,Model 3,9469,10122,110519,60,346,491.44,7564
2016,December,Asia,Model X,11076,11534,111396,60,358,594.78,4785
2018,February,Middle East,Model 3,8065,8093,108446,82,490,592.78,4625
2019,September,Asia,Model Y,7202,7646,66403,100,550,594.16,13552
2024,January,Middle East,Model Y,15113,17144,79023,120,661,1498.45,13341
2025,October,Europe,Cybertruck,16403,17990,89023,100,582,1431.98,10354
2021,December,Asia,Model X,11729,12498,78248,120,668,1175.25,9081
2022,November,Europe,Model S,10605,11896,100323,82,480,763.56,4202
2019,September,Europe,Model Y,6575,7546,96649,82,462,455.65,10029
2025,December,Asia,Model 3,8406,8796,70798,82,463,583.8,13617
2019,July,North America,Cybertruck,9864,11217,64820,75,417,616.99,12107
2016,February,Middle East,Model Y,11285,12244,101691,82,487,824.37,7849
2019,June,Europe,Model Y,8596,9054,97776,60,349,450,11583
2023,April,Middle East,Cybertruck,14542,16097,69145,82,455,992.49,9672
2020,August,Asia,Model X,11637,11652,64098,75,448,782.01,10360
2023,September,Middle East,Model Y,16368,18329,116163,82,475,1166.22,6055
2015,January,Middle East,Model Y,10348,10835,85600,82,488,757.47,5991
2017,July,Asia,Model Y,8745,9321,92738,60,334,438.12,11083
2017,September,North America,Model Y,14122,16111,94546,100,566,1198.96,6234
2020,September,Asia,Cybertruck,4927,5124,85638,100,557,411.65,10339
2018,December,Asia,Model X,13841,14984,60720,82,480,996.55,10203
2018,April,North America,Model Y,14998,15028,55712,120,675,1518.55,3334
2024,April,Asia,Model Y,12693,13879,95108,75,439,835.83,6511
2019,December,Middle East,Model 3,16992,17643,75520,82,485,1236.17,5339
2020,April,Asia,Model Y,12896,14568,71656,82,479,926.58,3193
2018,June,Asia,Cybertruck,8089,8151,77846,75,431,522.95,8799
2021,February,North America,Model Y,12392,14134,87091,60,348,646.86,8789
